Open,High,Low,Close,Volume,Predictions,Confidence,ATR,AHMA,Leavitt_Projection,Leavitt_Convolution,LC_Slope,LC_Intercept,LC_Acceleration,Convolution_Probability,Baseline_Bullish,Baseline_Bearish,Baseline_Valid,ML_Trade_Direction,ML_Signal_Quality,ML_Confirmed,LC_Acceleration_Shift,LC_Slope_Shift,LC_Acceleration_STD,LC_Slope_STD,Threshold,Confirm_Threshold,Trend,Trend_Within_Threshold,Confirmed_Trend,Confirmed_Trend_Within_Threshold,News_Conflict,Prevailing_Trend,Baseline_Aligned,Trend_Agreement,LC_Prev,LP_Prev,Entry_Trigger,Entry_Confirmed,LP_Slope,Trend_Bull,Trend_Bear,Expansion_Bull,Expansion_Bear,Momentum_Divergence_Bull,Momentum_Divergence_Bear,Classic_Divergence_Bull,Classic_Divergence_Bear,RHD_Bull,RHD_Bear,Day_Of_Week,Month,Year,Cluster_ID
1.23176,1.23464,1.22218,1.22333,68726,0,0.9889244666896476,0.0096688650786275,1.228005063661267,1.227512876987794,1.2224794267819663,-0.0053438080935177,1.230495138922243,0.0011619663635236,5.9130111335318665,0,0,0,Sell,Strong,1,0.0005140837004107,-0.0065057744570413,0.0036338438081949,0.0072005612902013,0.0007267687616389,0.0021601683870604,1.0,0,0.0,0,0,Flat,Flat,Flat,0.0,0.0,Flat,Flat,0.0,0,0,0,0,0,0,0,0,Strong,Strong,0,2,2018,
1.22333,1.22415,1.21874,1.21946,58761,0,0.4646578656711119,0.0091010164014772,1.2241877299813255,1.2231649818033936,1.2183554004169173,-0.004124026365049,1.224541439964491,0.0012197817284687,4.680705478726113,0,0,0,Sell,Weak,0,0.0011619663635236,-0.0053438080935177,0.0026371872037011,0.0064039498862325,0.0005274374407402,0.0019211849658697,1.0,0,0.0,0,0,Flat,Flat,Flat,1.2224794267819663,1.227512876987794,Flat,Flat,-0.0043478951844004,0,0,0,0,0,0,0,0,Strong,Strong,1,2,2018,
1.21946,1.22736,1.21542,1.22666,77199,2,0.992383782872326,0.0094795475479469,1.2232590161658226,1.220419940712701,1.2166063302262031,-0.0017490701907141,1.2192299355122742,0.0023749561743349,2.2164199936706925,0,0,0,Buy,Strong,1,0.0012197817284687,-0.004124026365049,0.0028480833122851,0.0047309871923307,0.000569616662457,0.0014192961576992,1.0,0,0.0,0,0,Flat,Flat,Flat,1.2183554004169173,1.2231649818033936,Flat,Flat,-0.0027450410906926,0,0,0,0,0,0,0,0,Strong,Strong,2,2,2018,
1.22666,1.2336,1.22514,1.23183,68139,2,0.6435591970175134,0.0093436078748873,1.2249892246158025,1.2201884437476436,1.218281250698829,0.0016749204726258,1.21576886998989,0.0034239906633399,-2.4523896012493296,0,0,0,Buy,Weak,0,0.0023749561743349,-0.0017490701907141,0.003153261312227,0.0035252507485016,0.0006306522624454,0.0010575752245504,1.0,0,1.0,0,0,Bullish,Flat,Flat,1.2166063302262031,1.220419940712701,Flat,Flat,-0.0002314969650574,0,0,0,0,1,0,0,0,Strong,Strong,3,3,2018,
1.23183,1.23656,1.22689,1.23358,70397,1,0.811104954726313,0.0093871268249023,1.2276371428898718,1.2219309031567944,1.2223573916498065,0.0040761409509775,1.2162431802233402,0.0024012204783516,-6.042236434173916,0,1,1,Flat,Strong,0,0.0034239906633399,0.0016749204726258,0.0029347429241471,0.003837961184709,0.0005869485848294,0.0011513883554127,1.0,0,1.0,0,0,Bullish,Bullish,Bullish,1.218281250698829,1.2201884437476436,Bullish,Flat,0.0017424594091508,1,0,1,0,0,0,0,0,Strong,Strong,6,3,2018,6
1.23358,1.24205,1.23284,1.2405,60303,2,0.9444012891967244,0.0093635099149154,1.2320246503239072,1.2254563437022934,1.2277931301568936,0.0054357385070871,1.219639522396263,0.0013595975561095,-7.581837664712498,0,1,1,Buy,Strong,1,0.0024012204783516,0.0040761409509775,0.0019283565667095,0.004783446608597,0.0003856713133419,0.0014350339825791,1.0,0,1.0,0,0,Bullish,Bullish,Bullish,1.2223573916498065,1.2219309031567944,Flat,Flat,0.0035254405454989,1,0,1,0,0,0,0,0,Strong,Strong,0,3,2018,6
1.2405,1.24464,1.23849,1.24114,66027,1,0.8166340600412878,0.00893504192626,1.2360444209131676,1.2304602749198854,1.2344785456894152,0.0066854155325215,1.2244504223906327,0.0012496770254344,-9.911940627805553,0,1,1,Flat,Strong,0,0.0013595975561095,0.0054357385070871,0.001254210150187,0.0053460775466307,0.0002508420300374,0.0016038232639892,1.0,0,1.0,0,0,Bullish,Bullish,Bullish,1.2277931301568936,1.2254563437022934,Flat,Flat,0.005003931217592,1,0,1,0,0,0,0,0,Strong,Strong,1,3,2018,8
1.24114,1.24465,1.22978,1.23122,79137,0,0.92142483858386,0.0097263696694253,1.2359978266463771,1.234612986870041,1.2393331783318209,0.0048546326424054,1.2320512293682124,-0.001830782890116,-10.06222070536919,0,0,0,Sell,Strong,1,0.0012496770254344,0.0066854155325215,0.0014717000846653,0.0050669960279981,0.000294340016933,0.0015200988083994,-1.0,0,0.0,0,0,Flat,Flat,Flat,1.2344785456894152,1.2304602749198854,Flat,Flat,0.0041527119501556,0,0,1,0,0,0,1,0,Weak,Strong,2,3,2018,8
1.23122,1.23346,1.22728,1.23059,64098,1,0.8845027686258091,0.0092535203801686,1.2346091700283166,1.237510439802829,1.2412447320805289,0.0019115537487079,1.2383774014574669,-0.0029430788936974,-5.5048885696114755,0,0,0,Flat,Strong,0,-0.001830782890116,0.0048546326424054,0.0020469281916473,0.0043227850108805,0.0004093856383294,0.0012968355032641,-1.0,0,0.0,0,0,Flat,Flat,Flat,1.2393331783318209,1.234612986870041,Flat,Flat,0.0028974529327878,0,0,0,0,0,0,1,0,Weak,Strong,3,3,2018,8
1.23059,1.23456,1.22904,1.23347,37231,2,0.7319281318875952,0.0087557176628128,1.234018248630237,1.238957243766167,1.2413711470424706,0.0001264149619419,1.2411815245995577,-0.001785138786766,-0.5401143529355026,0,0,0,Buy,Moderate,0,-0.0029430788936974,0.0019115537487079,0.0022333673732981,0.0035586409177469,0.0004466734746596,0.001067592275324,-1.0,0,0.0,1,0,Flat,Flat,Flat,1.2412447320805289,1.237510439802829,Flat,Flat,0.0014468039633379,0,0,0,0,0,0,1,0,Weak,Strong,6,3,2018,8
